Date,Open,High,Low,Close,Volume,Adjusted Close
2014-09-09,2445.22,2445.22,2445.22,2445.22,0.0,2445.22
2014-09-05,2449.26,2449.26,2449.26,2449.26,0.0,2449.26
2014-09-04,2426.22,2426.22,2426.22,2426.22,0.0,2426.22
2014-09-03,2408.96,2408.96,2408.96,2408.96,0.0,2408.96
2014-09-02,2386.46,2386.46,2386.46,2386.46,0.0,2386.46
2014-09-01,2355.32,2355.32,2355.32,2355.32,0.0,2355.32
2014-08-29,2338.29,2338.29,2338.29,2338.29,0.0,2338.29
2014-08-28,2311.28,2311.28,2311.28,2311.28,0.0,2311.28
2014-08-27,2327.59,2327.59,2327.59,2327.59,0.0,2327.59
2014-08-26,2324.09,2324.09,2324.09,2324.09,0.0,2324.09
2014-08-25,2342.86,2342.86,2342.86,2342.86,0.0,2342.86
2014-08-22,2365.36,2365.36,2365.36,2365.36,0.0,2365.36
2014-08-21,2354.24,2354.24,2354.24,2354.24,0.0,2354.24
2014-08-20,2366.14,2366.14,2366.14,2366.14,0.0,2366.14
2014-08-19,2374.77,2374.77,2374.77,2374.77,0.0,2374.77
2014-08-18,2374.56,2374.56,2374.56,2374.56,0.0,2374.56
2014-08-15,2360.64,2360.64,2360.64,2360.64,0.0,2360.64
2014-08-14,2335.95,2335.95,2335.95,2335.95,0.0,2335.95
2014-08-13,2358.9,2358.9,2358.9,2358.9,0.0,2358.9
2014-08-12,2357.05,2357.05,2357.05,2357.05,0.0,2357.05
2014-08-11,2365.35,2365.35,2365.35,2365.35,0.0,2365.35
2014-08-08,2331.13,2331.13,2331.13,2331.13,0.0,2331.13
2014-08-07,2327.46,2327.46,2327.46,2327.46,0.0,2327.46
2014-08-06,2363.22,2363.22,2363.22,2363.22,0.0,2363.22
2014-08-05,2369.35,2369.35,2369.35,2369.35,0.0,2369.35
2014-08-04,2375.62,2375.62,2375.62,2375.62,0.0,2375.62
2014-08-01,2329.4,2329.4,2329.4,2329.4,0.0,2329.4
2014-07-31,2350.25,2350.25,2350.25,2350.25,0.0,2350.25
2014-07-30,2322.01,2322.01,2322.01,2322.01,0.0,2322.01
2014-07-29,2331.37,2331.37,2331.37,2331.37,0.0,2331.37
2014-07-28,2323.9,2323.9,2323.9,2323.9,0.0,2323.9
2014-07-25,2260.45,2260.45,2260.45,2260.45,0.0,2260.45
2014-07-24,2237.01,2237.01,2237.01,2237.01,0.0,2237.01
2014-07-23,2197.83,2197.83,2197.83,2197.83,0.0,2197.83
2014-07-22,2192.7,2192.7,2192.7,2192.7,0.0,2192.7
2014-07-21,2166.29,2166.29,2166.29,2166.29,0.0,2166.29
2014-07-18,2164.14,2164.14,2164.14,2164.14,0.0,2164.14
2014-07-17,2157.07,2157.07,2157.07,2157.07,0.0,2157.07
2014-07-16,2170.87,2170.87,2170.87,2170.87,0.0,2170.87
2014-07-15,2174.98,2174.98,2174.98,2174.98,0.0,2174.98
2014-07-14,2171.76,2171.76,2171.76,2171.76,0.0,2171.76
2014-07-11,2148.01,2148.01,2148.01,2148.01,0.0,2148.01
2014-07-10,2142.85,2142.85,2142.85,2142.85,0.0,2142.85
2014-07-09,2148.71,2148.71,2148.71,2148.71,0.0,2148.71
2014-07-08,2180.47,2180.47,2180.47,2180.47,0.0,2180.47
2014-07-07,2176.29,2176.29,2176.29,2176.29,0.0,2176.29
2014-07-04,2178.7,2178.7,2178.7,2178.7,0.0,2178.7
2014-07-03,2180.19,2180.19,2180.19,2180.19,0.0,2180.19
2014-07-02,2170.87,2170.87,2170.87,2170.87,0.0,2170.87
2014-07-01,2164.56,2164.56,2164.56,2164.56,0.0,2164.56
2014-06-30,2165.12,2165.12,2165.12,2165.12,0.0,2165.12
2014-06-27,2150.26,2150.26,2150.26,2150.26,0.0,2150.26
2014-06-26,2149.08,2149.08,2149.08,2149.08,0.0,2149.08
2014-06-25,2133.37,2133.37,2133.37,2133.37,0.0,2133.37
2014-06-24,2144.82,2144.82,2144.82,2144.82,0.0,2144.82
2014-06-23,2134.11,2134.11,2134.11,2134.11,0.0,2134.11
2014-06-20,2136.73,2136.73,2136.73,2136.73,0.0,2136.73
2014-06-19,2126.91,2126.91,2126.91,2126.91,0.0,2126.91
2014-06-18,2160.24,2160.24,2160.24,2160.24,0.0,2160.24
2014-06-17,2169.67,2169.67,2169.67,2169.67,0.0,2169.67
2014-06-16,2191.85,2191.85,2191.85,2191.85,0.0,2191.85
2014-06-13,2176.24,2176.24,2176.24,2176.24,0.0,2176.24
2014-06-12,2153.41,2153.41,2153.41,2153.41,0.0,2153.41
2014-06-11,2160.77,2160.77,2160.77,2160.77,0.0,2160.77
2014-06-10,2161.27,2161.27,2161.27,2161.27,0.0,2161.27
2014-06-09,2136.29,2136.29,2136.29,2136.29,0.0,2136.29
2014-06-06,2134.72,2134.72,2134.72,2134.72,0.0,2134.72
2014-06-05,2150.6,2150.6,2150.6,2150.6,0.0,2150.6
2014-06-04,2128.27,2128.27,2128.27,2128.27,0.0,2128.27
2014-06-03,2149.92,2149.92,2149.92,2149.92,0.0,2149.92
